Name,CPU,RAM,SpaceGB,OS,Env,PowerState
brcwnt1b,4,4,339,linux,brc,On
brcwnt3m,8,16,113,linux,brc,On
brcwnt3t,8,16,117,linux,brc,On
brcwnt4a,4,24,339,linux,brc,On
brcwnt4d,4,24,277,linux,brc,On
brcwnt4e,4,11,135,linux,brc,On
brcwnt4f,2,16,236,linux,brc,On
brcwnt4m,2,8,213,linux,brc,On
brcwnt4u,2,16,258,linux,brc,On
brcwnt4v,2,16,257,linux,brc,On
brcwnt4w,4,24,228,linux,brc,On
brcwnt4x,4,16,89,linux,brc,On
brcwnt4z,2,16,213,linux,brc,On
brcwnt5d,4,12,266,linux,brc,On
brcwnt60,6,32,332,linux,brc,On
brcwnt61,4,24,243,linux,brc,On
brcwnt62,2,8,190,linux,brc,On
brcwnt67,4,4,66,linux,brc,On
brcwnt68,2,4,184,linux,brc,On
brcwnt6m,8,16,119,linux,brc,On
brcwnt75,1,4,146,linux,brc,On
brcwnt76,1,4,156,linux,brc,On
brcwnt8c,2,8,112,linux,brc,On
brcwnt8d,2,8,104,linux,brc,On
brcwnt90,4,16,538,linux,brc,On
brcwnt92,4,18,176,linux,brc,On
brcwnt95,6,16,154,linux,brc,On
brcwnt96,8,16,136,linux,brc,On
brcwnt97,8,16,133,linux,brc,On
brcwnta2,2,16,143,linux,brc,On
brcwnta3,6,20,275,linux,brc,On
brcwnta4,2,8,177,linux,brc,On
brcwnta5,4,24,169,linux,brc,On
brcwntat,4,4,44,linux,brc,On
brcwntav,4,12,245,linux,brc,On
brcwntaw,4,4,53,linux,brc,On
brcwntc8,2,4,49,linux,brc,On
brcwntc9,2,4,48,linux,brc,On
brcwntcr,4,4,55,linux,brc,On
brcwntdr,4,16,1830,linux,brc,On
brcwntds,4,8,55,linux,brc,On
brcwntdt,4,8,60,linux,brc,On
brcwntdu,4,8,67,linux,brc,On
brcwntdv,8,32,1856,linux,brc,On
brcwntdx,4,12,70,linux,brc,On
brcwntdy,8,16,80,linux,brc,On
brcwntdz,8,16,91,linux,brc,On
brcwnte7,8,32,237,linux,brc,On
brcwnte8,8,32,226,linux,brc,On
brcwntfe,2,4,48,linux,brc,On
brcwntjy,2,4,48,linux,brc,On
brcwntk2,4,24,294,linux,brc,On
brcwntk3,4,24,266,linux,brc,On
brcwntk4,4,8,270,linux,brc,On
brcwntpg,4,16,137,linux,brc,On
brcwntph,4,16,55,linux,brc,On
brcwntr4,8,16,63,linux,brc,On
brcwntr5,8,16,65,linux,brc,On
brcwntyj,8,16,63,linux,brc,On
brcwntzi,8,16,60,linux,brc,On
brcwfpq1,4,4,45,linux,grm,On
brcwnt08,4,12,90,linux,grm,On
brcwnt0f,8,6,257,linux,grm,On
brcwnt11,4,16,174,linux,grm,On
brcwnt18,4,32,102,linux,grm,On
brcwnt1d,2,4,68,linux,grm,On
brcwnt1i,4,8,123,linux,grm,On
brcwnt1o,10,28,70,linux,grm,On
brcwnt1w,2,4,83,linux,grm,On
brcwnt1y,4,6,76,linux,grm,On
brcwnt2a,10,28,230,linux,grm,On
brcwnt2c,10,28,334,linux,grm,On
brcwnt2d,10,28,115,linux,grm,On
brcwnt2e,10,28,70,linux,grm,On
brcwnt2o,10,28,152,linux,grm,On
brcwnt2z,4,8,85,linux,grm,On
brcwnt39_old,2,4,21,linux,grm,On
brcwnt3p,2,12,99,linux,grm,On
brcwnt3q,2,12,104,linux,grm,On
brcwnt40,2,12,84,linux,grm,On
brcwnt49,1,4,53,linux,grm,On
brcwnt4j,4,4,222,linux,grm,On
brcwnt4n,1,2,63,linux,grm,On
brcwnt4t,4,16,58,linux,grm,On
brcwnt4y,2,8,79,linux,grm,On
brcwnt51,1,4,94,linux,grm,On
brcwnt52,8,12,50,linux,grm,On
brcwnt58,8,8,102,linux,grm,On
brcwnt5a,2,4,78,linux,grm,On
brcwnt5b,4,12,116,linux,grm,On
brcwnt5c,4,12,83,linux,grm,On
brcwnt5z,3,16,216,linux,grm,On
brcwnt6e,8,16,447,linux,grm,On
brcwnt6f,8,16,220,linux,grm,On
brcwnt6g,8,16,218,linux,grm,On
brcwnt6h,8,32,229,linux,grm,On
brcwnt6i,8,32,217,linux,grm,On
brcwnt6j,8,32,118,linux,grm,On
brcwnt6k,8,32,109,linux,grm,On
brcwnt6l,8,16,111,linux,grm,On
brcwnt6n,8,40,449,linux,grm,On
brcwnt6o,8,40,471,linux,grm,On
brcwnt6p,8,32,169,linux,grm,On
brcwnt6q,8,32,180,linux,grm,On
brcwnt6r,8,32,183,linux,grm,On
brcwnt6s,8,32,134,linux,grm,On
brcwnt6t,8,16,125,linux,grm,On
brcwnt6u,8,24,171,linux,grm,On
brcwnt7f,4,4,112,linux,grm,On
brcwnt7g,8,8,59,linux,grm,On
brcwnt7h,8,16,119,linux,grm,On
brcwnt7i,4,4,67,linux,grm,On
brcwnt7j,4,4,91,linux,grm,On
brcwnt7k,8,12,61,linux,grm,On
brcwnt7r,8,16,322,linux,grm,On
brcwnt7s,8,12,125,linux,grm,On
brcwnt8v,4,4,50,linux,grm,On
brcwnt91,1,4,52,linux,grm,On
brcwnt93,1,4,59,linux,grm,On
brcwnt94,1,4,51,linux,grm,On
brcwnt9v,4,4,54,linux,grm,On
brcwnt9w,4,16,74,linux,grm,On
brcwnta6,8,32,84,linux,grm,On
brcwnta7,8,32,86,linux,grm,On
brcwntaa,8,24,403,linux,grm,On
brcwntan,8,32,241,linux,grm,On
brcwntar,8,32,92,linux,grm,On
brcwntau,2,4,72,linux,grm,On
brcwntbi,4,6,145,linux,grm,On
brcwntbk,2,4,104,linux,grm,On
brcwntbl,2,4,92,linux,grm,On
brcwntbz,2,4,48,linux,grm,On
brcwntc0,8,32,137,linux,grm,On
brcwntc1,8,32,213,linux,grm,On
brcwntc2,2,4,55,linux,grm,On
brcwntc3,8,32,77,linux,grm,On
brcwntc4,2,8,142,linux,grm,On
brcwntc5,2,16,64,linux,grm,On
brcwntc6,2,16,64,linux,grm,On
brcwntc7,2,4,68,linux,grm,On
brcwntcd,4,4,60,linux,grm,On
brcwntce,4,4,63,linux,grm,On
brcwntcf,4,4,46,linux,grm,On
brcwntcg,4,4,45,linux,grm,On
brcwntch,4,4,45,linux,grm,On
brcwntci,4,16,292,linux,grm,On
brcwntco,4,4,47,linux,grm,On
brcwntcp,4,4,51,linux,grm,On
brcwntcq,4,4,47,linux,grm,On
brcwntcy,8,32,109,linux,grm,On
brcwntcz,8,32,681,linux,grm,On
brcwntda,8,32,141,linux,grm,On
brcwntdb,8,32,154,linux,grm,On
brcwntdo,4,16,118,linux,grm,On
brcwntdp,4,16,97,linux,grm,On
brcwnte0,8,16,79,linux,grm,On
brcwnte1,8,16,79,linux,grm,On
brcwnte2,8,16,109,linux,grm,On
brcwnte3,8,16,100,linux,grm,On
brcwnte4,8,32,143,linux,grm,On
brcwnte5,8,32,161,linux,grm,On
brcwnte6,8,32,142,linux,grm,On
brcwnte9,8,8,82,linux,grm,On
brcwntea,4,16,72,linux,grm,On
brcwntfo,2,4,65,linux,grm,On
brcwntgc,2,8,83,linux,grm,On
brcwntgd,2,8,147,linux,grm,On
brcwntgi,2,8,221,linux,grm,On
brcwnth5,8,32,79,linux,grm,On
brcwnth6,8,32,89,linux,grm,On
brcwnth7,8,32,224,linux,grm,On
brcwnth8,4,16,95,linux,grm,On
brcwnth9,2,8,150,linux,grm,On
brcwntha,2,8,145,linux,grm,On
brcwnthb,4,16,71,linux,grm,On
brcwnthc,4,16,84,linux,grm,On
brcwnthd,2,8,75,linux,grm,On
brcwnthg,2,4,90,linux,grm,On
brcwnthm,8,32,77,linux,grm,On
brcwnthj,8,32,81,linux,grm,On
brcwnthk,4,16,126,linux,grm,On
brcwnthl,2,8,177,linux,grm,On
brcwnthm,2,8,154,linux,grm,On
brcwnthn,4,16,113,linux,grm,On
brcwntho,4,16,110,linux,grm,On
brcwnthp,2,8,98,linux,grm,On
brcwnthq,8,32,76,linux,grm,On
brcwnthr,8,32,77,linux,grm,On
brcwnths,8,32,94,linux,grm,On
brcwnthu,8,32,186,linux,grm,On
brcwnthv,2,8,77,linux,grm,On
brcwnti0,8,32,79,linux,grm,On
brcwnti1,12,32,166,linux,grm,On
brcwnti2,4,16,112,linux,grm,On
brcwnti3,4,8,144,linux,grm,On
brcwnti4,4,8,148,linux,grm,On
brcwnti5,8,32,176,linux,grm,On
brcwnti6,4,16,77,linux,grm,On
brcwnti7,2,8,82,linux,grm,On
brcwnti8,12,32,129,linux,grm,On
brcwntig,8,32,71,linux,grm,On
brcwntih,4,16,83,linux,grm,On
brcwntij,4,16,75,linux,grm,On
brcwntik,8,32,92,linux,grm,On
brcwntil,12,32,100,linux,grm,On
brcwntim,12,32,118,linux,grm,On
brcwntin,12,32,87,linux,grm,On
brcwntio,12,32,121,linux,grm,On
brcwntip,12,32,110,linux,grm,On
brcwntiq,12,32,100,linux,grm,On
brcwntir,12,32,100,linux,grm,On
brcwntis,12,32,124,linux,grm,On
brcwntit,8,32,146,linux,grm,On
brcwntiu,8,32,108,linux,grm,On
brcwntiv,8,32,53,linux,grm,On
brcwntiw,4,16,79,linux,grm,On
brcwntix,2,8,78,linux,grm,On
brcwntiy,8,32,120,linux,grm,On
brcwntiz,24,16,167,linux,grm,On
brcwntj1,8,32,79,linux,grm,On
brcwntj2,8,32,71,linux,grm,On
brcwntj7,12,32,103,linux,grm,On
brcwntj8,12,32,94,linux,grm,On
brcwntjg,4,16,265,linux,grm,On
brcwntjh,8,32,128,linux,grm,On
brcwntji,8,32,93,linux,grm,On
brcwntjj,8,32,96,linux,grm,On
brcwntjk,2,8,145,linux,grm,On
brcwntjl,2,8,147,linux,grm,On
brcwntjm,4,16,113,linux,grm,On
brcwntjn,4,16,107,linux,grm,On
brcwntjo,2,8,92,linux,grm,On
brcwntjp,4,16,148,linux,grm,On
brcwntjq,8,32,127,linux,grm,On
brcwntjr,8,32,96,linux,grm,On
brcwntjs,8,32,89,linux,grm,On
brcwntjt,2,8,178,linux,grm,On
brcwntju,2,8,172,linux,grm,On
brcwntjv,4,16,107,linux,grm,On
brcwntjw,4,16,117,linux,grm,On
brcwntjx,2,8,95,linux,grm,On
brcwntkx,1,4,47,linux,grm,On
brcwntna,4,8,47,linux,grm,On
brcwntnb,4,8,53,linux,grm,On
brcwntnc,4,8,56,linux,grm,On
brcwntnd,4,8,58,linux,grm,On
brcwntne,4,8,50,linux,grm,On
brcwnto6,4,4,131,linux,grm,On
brcwntua,2,4,84,linux,grm,On
brcwntub,2,4,81,linux,grm,On
brcwntuo,8,4,92,linux,grm,On
brcwntup,2,4,58,linux,grm,On
brcwntuq,8,16,87,linux,grm,On
brcwntut,8,16,76,linux,grm,On
brcwntuu,8,16,83,linux,grm,On
brcwntuv,8,16,78,linux,grm,On
brcwntuw,8,16,84,linux,grm,On
brcwntux,8,16,81,linux,grm,On
brcwntuy,8,16,88,linux,grm,On
brcwntuz,8,16,76,linux,grm,On
brcwntv1,1,4,54,linux,grm,On
brcwntv2,2,4,107,linux,grm,On
brcwntv3,2,4,104,linux,grm,On
brcwntv4,2,4,45,linux,grm,On
brcwntvg,4,8,57,linux,grm,On
brcwntvh,4,8,76,linux,grm,On
brcwntvi,2,4,72,linux,grm,On
brcwntvj,2,4,104,linux,grm,On
brcwntvk,2,4,57,linux,grm,On
brcwntvo,2,4,55,linux,grm,On
brcwntx8,2,4,88,linux,grm,On
Citrix_image_brc,2,4,60,linux,grm,On
prmwnt1o,2,4,62,linux,grm,On
bcccems,2,7,77,linux,prm,On
brcwnt4r,1,4,57,linux,prm,On
cmrwnt31,8,32,396,linux,prm,On
cmrwnt32,8,8,2815,linux,prm,On
cmrwnt39,4,8,52,linux,prm,On
cmrwnt40,4,8,83,linux,prm,On
cmrwnt41,4,8,64,linux,prm,On
cmrwnt42,4,8,173,linux,prm,On
cmrwnt43,8,32,240,linux,prm,On
ealwnt12,4,4,78,linux,prm,On
ealwnt13,4,4,30,linux,prm,On
ealwnt14,4,4,30,linux,prm,On
jaxvps11,2,4,94,linux,prm,On
jaxvps12,2,4,102,linux,prm,On
jaxvps13,2,4,80,linux,prm,On
jaxvps14,2,4,100,linux,prm,On
jaxwfp13,4,8,641,linux,prm,On
jaxwfp14,4,8,318,linux,prm,On
jaxwfp15,4,8,458,linux,prm,On
jaxwfp16,4,8,470,linux,prm,On
jaxwfp17,4,8,609,linux,prm,On
jaxwfp18,4,8,534,linux,prm,On
jaxwfp19,4,5,477,linux,prm,On
jaxwfp20,4,8,362,linux,prm,On
jaxwfp21,5,8,427,linux,prm,On
jaxwfp22,4,8,465,linux,prm,On
jaxwfp23,4,8,430,linux,prm,On
