Name,Powerstate,CPU,RAM,NICs,Disks,SpaceGB,OS
abbsmdev,poweredOn,2,4,1,1,24,Linux 4.1.12-103.9.4.el7uek.x86_64 Oracle Linux Server release 7.4
abbsmdev1,poweredOn,2,4,1,1,24,Linux 4.1.12-103.9.4.el7uek.x86_64 Oracle Linux Server release 7.4
abbsmqa,poweredOn,2,4,1,1,24,Linux 4.1.12-103.9.4.el7uek.x86_64 Oracle Linux Server release 7.4
abbsmqa1,poweredOn,2,4,1,1,24,Linux 4.1.12-103.9.4.el7uek.x86_64 Oracle Linux Server release 7.4
abbssdev,poweredOn,4,16,1,2,106,Oracle Linux 4/5/6/7 (64-bit)
abbssdev1,poweredOn,4,16,1,2,106,Oracle Linux 4/5/6/7 (64-bit)
abbssqa,poweredOn,4,16,1,2,106,Oracle Linux 4/5/6/7 (64-bit)
abbssqa1,poweredOn,4,16,1,2,106,Oracle Linux 4/5/6/7 (64-bit)
AdditionalBackEnd,poweredOff,4,16,1,2,628,SUSE Linux Enterprise 11 (64-bit)
AMIW2008-Template,poweredOff,2,8,1,2,158,Microsoft Windows Server 2008 R2 (64-bit)
AMI-Win2012-CE-Template,poweredOff,2,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
Angelo-Template2,poweredOff,2,4,1,1,54,
anspoc,poweredOn,2,8,2,2,53,
apl-ciscoacs-ddc,poweredOn,1,4,1,1,504,CentOS 4/5/6 (32-bit)
apl-ciscowcs-ddc,poweredOff,8,16,1,3,808,Red Hat Enterprise Linux 5 (64-bit)
aqaa-pvwa01,poweredOff,1,4,1,1,54,
Avamar-BRM,poweredOff,4,16,1,2,126,SUSE Linux Enterprise 11 (64-bit)
big-iq-ddc,poweredOn,4,16,3,1,95,
cnmapp,poweredOn,1,8,1,1,86,Ubuntu Linux (64-bit)
Collector,poweredOff,4,24,1,2,336,SUSE Linux Enterprise 11 (64-bit)
Collector_1_dca-tst1348,poweredOff,6,24,1,2,624,Microsoft Windows Server 2012 (64-bit)
cytest,poweredOff,4,4,1,1,104,Microsoft Windows Server 2012 (64-bit)
Data Protection Central,poweredOn,4,8,1,2,555,SUSE Linux Enterprise 12 (64-bit)
datadobi-core,poweredOff,4,8,1,1,524,
datadobi-proxy1,poweredOff,4,8,1,2,74,
datadobi-proxy2,poweredOff,4,8,1,2,74,
datadobi-proxy3,poweredOff,4,8,1,2,74,
dca-acc1001,poweredOn,2,8,2,2,98,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1013,poweredOn,2,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1014,poweredOn,2,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1041,poweredOn,1,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1083,poweredOn,4,8,2,5,318,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1084,poweredOn,4,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1100,poweredOn,4,16,2,2,166,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1128,poweredOn,2,4,2,2,64,Microsoft Windows Server 2012 (64-bit)
dca-acc1129,poweredOn,2,4,2,2,64,Microsoft Windows Server 2012 (64-bit)
dca-acc1144,poweredOn,1,4,1,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1145,poweredOn,4,8,2,4,298,Microsoft Windows Server 2012 (64-bit)
dca-acc1147,poweredOn,4,16,2,6,306,Microsoft Windows Server 2012 (64-bit)
dca-acc1237,poweredOn,2,8,1,2,221,Microsoft Windows Server 2012 (64-bit)
dca-acc1242,poweredOn,2,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-acc1244,poweredOn,2,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-acc1247,poweredOn,2,8,1,1,58,Microsoft Windows Server 2012 (64-bit)
dca-acc1250,poweredOn,2,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-acc1253,poweredOn,2,8,1,2,108,Microsoft Windows Server 2012 (64-bit)
dca-acc1256,poweredOn,2,8,1,6,678,Microsoft Windows Server 2012 (64-bit)
dca-acc1257,poweredOn,4,8,1,2,188,Microsoft Windows Server 2012 (64-bit)
dca-acc1279,poweredOn,64,48,1,2,298,Microsoft Windows Server 2012 (64-bit)
dca-acc1293,poweredOn,16,32,1,2,182,Microsoft Windows Server 2012 (64-bit)
dca-acc1294,poweredOn,16,32,1,2,182,Microsoft Windows Server 2012 (64-bit)
dca-acc1308,poweredOn,2,16,1,2,116,Microsoft Windows Server 2012 (64-bit)
dca-acc1310,poweredOn,2,24,2,2,274,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1311,poweredOn,2,24,2,2,274,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1312,poweredOn,2,16,2,2,266,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1313,poweredOn,2,16,2,2,266,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1314,poweredOn,2,16,2,2,266,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1315,poweredOn,2,16,2,2,266,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1360,poweredOn,2,4,1,2,154,Microsoft Windows Server 2012 (64-bit)
dca-acc1361,poweredOn,1,4,1,6,144,Microsoft Windows Server 2012 (64-bit)
dca-acc1362,poweredOn,1,4,1,2,74,Microsoft Windows Server 2012 (64-bit)
dca-acc1390,poweredOn,4,32,1,2,182,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1391,poweredOn,4,32,2,2,182,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1418,poweredOn,2,8,1,2,73,Microsoft Windows Server 2012 (64-bit)
dca-acc1427,poweredOn,2,4,1,2,64,Microsoft Windows Server 2012 (64-bit)
dca-acc1429,poweredOn,4,16,1,2,186,Microsoft Windows Server 2012 (64-bit)
dca-acc1444,poweredOn,1,8,1,2,163,Microsoft Windows Server 2012 (64-bit)
dca-acc1455,poweredOn,1,4,2,1,54,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc1456,poweredOn,2,8,1,2,78,Microsoft Windows Server 2012 (64-bit)
dca-acc1498,poweredOn,2,6,1,2,156,Microsoft Windows Server 2012 (64-bit)
dca-acc365,poweredOn,2,32,1,2,182,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc367,poweredOn,2,32,2,2,182,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc368,poweredOn,1,1,2,2,91,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc402,poweredOn,2,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-acc404,poweredOn,2,8,1,2,158,Microsoft Windows Server 2012 (64-bit)
dca-acc605,poweredOn,2,8,2,2,558,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc611,poweredOn,1,4,2,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc615,poweredOn,1,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc645,poweredOn,1,4,2,2,554,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc651,poweredOn,2,4,2,3,254,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc652,poweredOn,4,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc653,poweredOn,4,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc654,poweredOn,2,4,2,2,174,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc655,poweredOn,2,4,2,2,174,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc661,poweredOn,4,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc662,poweredOn,4,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc723,poweredOn,2,2,2,2,123,Microsoft Windows Server 2003 (32-bit)
dca-acc725,poweredOn,2,2,2,8,"1,678",Microsoft Windows Server 2003 (32-bit)
dca-acc748,poweredOn,2,8,2,2,93,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc749,poweredOn,2,8,2,2,88,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc750,poweredOn,1,8,2,2,138,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc752,poweredOn,1,4,2,2,64,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc762,poweredOn,1,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc763,poweredOn,2,8,2,2,558,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc765,poweredOn,4,16,2,2,566,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc859,poweredOn,1,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc861,poweredOn,1,4,2,2,104,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc862,poweredOn,1,4,2,2,109,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc866,poweredOn,2,8,2,2,158,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc874,poweredOn,2,12,2,2,312,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc875,poweredOn,1,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc876,poweredOn,2,8,2,2,98,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc878,poweredOn,2,8,2,2,98,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc879,poweredOn,2,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc880,poweredOn,2,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc882,poweredOn,2,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc896,poweredOn,2,4,2,2,94,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc905,poweredOn,1,4,2,2,154,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc980,poweredOn,6,8,2,2,133,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc992,poweredOn,2,8,2,2,78,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc994,poweredOn,4,16,2,2,166,Microsoft Windows Server 2008 R2 (64-bit)
dca-acc995,poweredOn,2,8,2,2,108,Microsoft Windows Server 2008 R2 (64-bit)
dca-con01,poweredOn,1,4,1,2,75,Microsoft Windows XP Professional (32-bit)
dca-con02,poweredOn,2,12,2,3,612,Microsoft Windows Server 2008 R2 (64-bit)
dca-con04,poweredOn,1,4,1,2,75,Microsoft Windows XP Professional (32-bit)
dca-con05,poweredOn,4,16,1,1,116,Microsoft Windows Server 2012 (64-bit)
dca-dev091,poweredOn,2,3,2,2,174,Microsoft Windows Server 2003 (32-bit)
