Name,State,OS,vCPU,Memory,TotalSpace,DriveCount
acs01-k,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
acs01-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
acs01-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
acs02-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
acs02-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
acspak01-k,PoweredOn,CentOS 7 (64-bit),2,16384,32,1
acspak01-p,PoweredOn,CentOS 4/5 or later (64-bit),8,65536,128,1
acspak01-t,PoweredOn,CentOS 4/5 or later (64-bit),2,32768,48,1
acspak02-p,PoweredOn,CentOS 4/5 or later (64-bit),8,65536,144,1
acspak02-t,PoweredOn,CentOS 4/5 or later (64-bit),2,16384,32,1
amq01-V2V,PoweredOn,CentOS 4/5 or later (64-bit),4,4096,28,1
amq02-V2V,PoweredOn,CentOS 4/5 or later (64-bit),4,4096,28,1
andromeda-V2V,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
angus-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
anr01-a,PoweredOn,Microsoft Windows Server 2012 (64-bit),4,16384,403,1
anrsolr01-a,PoweredOn,CentOS 4/5 or later (64-bit),4,32768,1040,1
anrsolr01-i,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,536,1
anrsolr01-p,PoweredOn,CentOS 7 (64-bit),4,32768,1072,1
anrsolr02-a,PoweredOn,CentOS 4/5 or later (64-bit),4,32768,816,1
apache01-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
athens01-c,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
athens01-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
athens02-p,PoweredOn,CentOS 6 (64-bit),2,8192,16,1
atlassian01-V2V,PoweredOn,CentOS 4/5 or later (64-bit),2,4096,28,1
atlassian02-V2V,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,32,1
balancer-P2V,PoweredOn,CentOS 4/5 or later (64-bit),4,4096,28,1
bauth01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bauth01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bauth02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bauth02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bauthbop01-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bauthbop02-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bbop01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bbop01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bbop02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bbop02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
beni-p,PoweredOn,Microsoft Windows Server 2012 (64-bit),8,65536,1217,1
beni-t,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,128,1
bmc01-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bmc01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bmc01-t,PoweredOn,CentOS 6 (64-bit),2,8192,104,1
bmc02-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bmc02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bmc02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bmongod01-m,PoweredOn,CentOS 7 (64-bit),2,8192,224,1
bmongod01-p,PoweredOn,CentOS 6 (64-bit),4,16384,248,1
bmongod01-t,PoweredOn,CentOS 6 (64-bit),2,8192,240,1
bmongod02-m,PoweredOn,CentOS 7 (64-bit),2,8192,224,1
bmongod02-p,PoweredOn,CentOS 6 (64-bit),4,16384,232,1
bmongod02-t,PoweredOn,CentOS 6 (64-bit),2,8192,240,1
bmongod03-p,PoweredOn,CentOS 6 (64-bit),4,16384,248,1
bmongod03-t,PoweredOn,CentOS 6 (64-bit),2,8192,224,1
booksvc01-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
booksvc01-t,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
booksvc02-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
booksvc02-t,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
bops01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bops01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bops02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bops02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpub01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpub01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpub02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpub02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpubops01-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bpubops02-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bstatic01-m,PoweredOn,CentOS 7 (64-bit),4,8192,16,1
bstatic01-p,PoweredOn,CentOS 6 (64-bit),4,8192,32,1
bstatic01-t,PoweredOn,CentOS 6 (64-bit),4,8192,40,1
bstatic02-m,PoweredOn,CentOS 7 (64-bit),4,8192,16,1
bstatic02-p,PoweredOn,CentOS 6 (64-bit),4,8192,40,1
bstatic02-t,PoweredOn,CentOS 6 (64-bit),4,8192,40,1
bswagger01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bswagger01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bswagger02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bswagger02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btools01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btools01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btools02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btools02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btoolsswagger01-m,PoweredOn,CentOS 7 (64-bit),2,8192,16,1
btoolsswagger02-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bucket01-a-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
bucket01-c-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
bucket01-i-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
build-box01,PoweredOn,CentOS 4/5 or later (64-bit),2,4096,737,1
build-box02,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
build-ebl01,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,16384,321,1
build-el6,PoweredOn,CentOS 4/5 or later (64-bit),4,16384,32,1
build-el7,PoweredOn,CentOS 7 (64-bit),4,16384,32,1
